oftic,TICKER,MEASURE,FISCALP,PYEAR,PMON,anndats,suescore
BLK,BLKI,EPS,QTR,2023,3,2023-04-14,0.58428
BLK,BLKI,EPS,QTR,2023,6,2023-07-14,4.463
BLK,BLKI,EPS,QTR,2023,9,2023-10-13,8.60886
BLK,BLKI,EPS,QTR,2023,12,2024-01-12,3.54735
BLK,BLKI,EPS,QTR,2024,3,2024-04-12,1.51472
BLK,BLKI,EPS,QTR,2024,9,2024-10-11,4.99557
BLK,BLKI,EPS,QTR,2024,12,2025-01-15,2.35616
BLK,BLKI,EPS,QTR,2025,3,2025-04-11,2.16551
BLK,BLKI,EPS,QTR,2025,6,2025-07-15,7.33545
BLK,BLKI,EPS,QTR,2025,9,2025-10-14,0.70953
BMY,BMY,EPS,QTR,2021,12,2022-02-04,0.97675
BMY,BMY,EPS,QTR,2022,3,2022-04-29,2.44435
BMY,BMY,EPS,QTR,2022,6,2022-07-27,1.88615
BMY,BMY,EPS,QTR,2022,9,2022-10-25,3.34662
BMY,BMY,EPS,QTR,2022,12,2023-02-02,1.55961
BMY,BMY,EPS,QTR,2023,3,2023-04-27,1.40108
BMY,BMY,EPS,QTR,2023,6,2023-07-27,-5.13771
BMY,BMY,EPS,QTR,2023,9,2023-10-26,4.57424
BMY,BMY,EPS,QTR,2023,12,2024-02-02,1.55692
BMY,BMY,EPS,QTR,2024,3,2024-04-25,0.08813
BMY,BMY,EPS,QTR,2024,6,2024-07-26,6.4612
BMY,BMY,EPS,QTR,2024,9,2024-10-31,4.77637
BMY,BMY,EPS,QTR,2024,12,2025-02-06,5.52526
BMY,BMY,EPS,QTR,2025,3,2025-04-24,5.44235
BMY,BMY,EPS,QTR,2025,6,2025-07-31,5.91517
BMY,BMY,EPS,QTR,2025,9,2025-10-30,1.12097
C,CCC2,EPS,QTR,2021,12,2022-01-14,0.62122
C,CCC2,EPS,QTR,2022,3,2022-04-14,2.09794
C,CCC2,EPS,QTR,2022,6,2022-07-15,4.1067
C,CCC2,EPS,QTR,2022,9,2022-10-14,0.55068
C,CCC2,EPS,QTR,2022,12,2023-01-13,-0.55818
C,CCC2,EPS,QTR,2023,3,2023-04-14,0.99657
C,CCC2,EPS,QTR,2023,6,2023-07-14,0.63368
C,CCC2,EPS,QTR,2023,9,2023-10-13,3.33824
C,CCC2,EPS,QTR,2023,12,2024-01-12,0.2644
C,CCC2,EPS,QTR,2024,3,2024-04-12,7.60371
C,CCC2,EPS,QTR,2024,9,2024-10-15,2.78472
C,CCC2,EPS,QTR,2024,12,2025-01-15,2.80406
C,CCC2,EPS,QTR,2025,3,2025-04-15,0.93079
C,CCC2,EPS,QTR,2025,6,2025-07-15,4.91452
C,CCC2,EPS,QTR,2025,9,2025-10-14,4.60951
CAT,CAT,EPS,QTR,2021,12,2022-01-28,2.65123
CAT,CAT,EPS,QTR,2022,3,2022-04-28,2.37811
CAT,CAT,EPS,QTR,2022,6,2022-08-02,1.71888
CAT,CAT,EPS,QTR,2022,9,2022-10-27,5.62987
CAT,CAT,EPS,QTR,2022,12,2023-01-31,1.28144
CAT,CAT,EPS,QTR,2023,3,2023-04-27,5.83008
CAT,CAT,EPS,QTR,2023,6,2023-08-01,3.20777
CAT,CAT,EPS,QTR,2023,9,2023-10-31,3.69471
CAT,CAT,EPS,QTR,2023,12,2024-02-05,2.26333
CAT,CAT,EPS,QTR,2024,3,2024-04-25,3.3547
CAT,CAT,EPS,QTR,2024,6,2024-08-06,2.2359
CAT,CAT,EPS,QTR,2024,9,2024-10-30,-1.02195
CAT,CAT,EPS,QTR,2024,12,2025-01-30,0.56562
CAT,CAT,EPS,QTR,2025,3,2025-04-30,-0.4056
CAT,CAT,EPS,QTR,2025,6,2025-08-05,-0.90381
CAT,CAT,EPS,QTR,2025,9,2025-10-29,2.64257
CL,CL,EPS,QTR,2021,12,2022-01-28,0.165
CL,CL,EPS,QTR,2022,3,2022-04-29,-0.2404
CL,CL,EPS,QTR,2022,6,2022-07-29,0.63427
