company,ticker,date,file,PERMNO,Ticker,IssuerNm,event_trading_day,next_call_date,car_m1_p3,n_days_car,long_run_start,long_run_end,long_run_abret,n_days_long_run,total_words,pres_words,qa_words,core_hits_total,core_hits_pres,core_hits_qa,adj_hits_total,adj_hits_pres,adj_hits_qa,lm_positive_total,lm_negative_total,lm_uncertainty_count_total,lm_tone_total,lm_uncertainty_total,lm_positive_pres,lm_negative_pres,lm_uncertainty_count_pres,lm_tone_pres,lm_uncertainty_pres,lm_positive_qa,lm_negative_qa,lm_uncertainty_count_qa,lm_tone_qa,lm_uncertainty_qa,fiscal_quarter,fiscal_year,fiscal_period,core_per_1000_total,core_per_1000_pres,core_per_1000_qa,adj_per_1000_total,adj_per_1000_pres,adj_per_1000_qa
Duke Energy Corp,DUK,2024-11-07,2024-Nov-07-DUK.N-141193313122-Transcript.txt,27959,DUK,DUKE ENERGY CORP NEW,2024-11-07,2025-02-13,-0.05468900000000001,5,2024-11-08,2025-02-12,0.04086100000000001,64,7727,2887,4731,0,0,0,0,0,0,92,59,82,0.2185430463576159,0.01114887831407206,42,29,19,0.18309859154929578,0.006954612005856516,49,29,63,0.2564102564102564,0.013898080741230973,"3,0","2024,0",Q3 2024,0.0,0.0,0.0,0.0,0.0,0.0
Duke Energy Corp,DUK,2025-02-13,2025-Feb-13-DUK.N-139352427866-Transcript.txt,27959,DUK,DUKE ENERGY CORP NEW,2025-02-13,2025-05-06,-0.045196,5,2025-02-14,2025-05-05,0.13600200000000004,55,7325,2061,5143,5,0,5,0,0,0,145,38,71,0.5846994535519126,0.010207015526164463,49,7,11,0.75,0.005646817248459959,95,30,60,0.52,0.01222992254382389,"4,0","2024,0",Q4 2024,0.6825938566552902,0.0,0.9721952167995334,0.0,0.0,0.0
Duke Energy Corp,DUK,2025-05-06,2025-May-06-DUK.N-139749323440-Transcript.txt,27959,DUK,DUKE ENERGY CORP NEW,2025-05-06,2025-08-05,-0.008121999999999999,5,2025-05-07,2025-08-04,-0.09799100000000001,61,4624,1809,2724,0,0,0,0,0,0,69,26,46,0.45263157894736844,0.010437939641479465,40,5,9,0.7777777777777778,0.005257009345794392,29,20,36,0.1836734693877551,0.013724742661075104,"1,0","2025,0",Q1 2025,0.0,0.0,0.0,0.0,0.0,0.0
Duke Energy Corp,DUK,2025-08-05,2025-Aug-05-DUK.N-140831413203-Transcript.txt,27959,DUK,DUKE ENERGY CORP NEW,2025-08-05,2025-11-07,-0.0033100000000000004,5,2025-08-06,2025-11-06,-0.054295999999999976,66,5844,2283,3447,1,1,0,1,1,0,95,23,51,0.6101694915254238,0.009152907394113424,56,9,9,0.7230769230769231,0.004136029411764706,39,13,42,0.5,0.012723417146319298,"2,0","2025,0",Q2 2025,0.17111567419575632,0.43802014892685065,0.0,0.17111567419575632,0.43802014892685065,0.0
Duke Energy Corp,DUK,2025-11-07,2025-Nov-07-DUK.N-137909098789-Transcript.txt,27959,DUK,DUKE ENERGY CORP NEW,2025-11-07,,-0.007117999999999999,5,2025-11-10,2025-12-31,-0.063911,36,5667,2459,3100,2,2,0,1,1,0,57,25,49,0.3902439024390244,0.009104422147900408,44,7,10,0.7254901960784313,0.004275331338178709,13,17,39,-0.13333333333333333,0.013202437373053487,"3,0","2025,0",Q3 2025,0.3529204164460914,0.813338755591704,0.0,0.1764602082230457,0.406669377795852,0.0
Wells Fargo & Co,WFC,2022-01-14,2022-Jan-14-WFC.N-138102356360-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2022-01-14,2022-04-14,0.029981,5,2022-01-18,2022-04-13,-0.118018,61,14204,6412,7605,0,0,0,0,0,0,221,118,149,0.30383480825958703,0.011055052678438938,140,56,74,0.42857142857142855,0.012300531914893617,81,61,75,0.14084507042253522,0.010273972602739725,"4,0","2021,0",Q4 2021,0.0,0.0,0.0,0.0,0.0,0.0
Wells Fargo & Co,WFC,2022-04-14,2022-Apr-14-WFC.N-139437796559-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2022-04-14,2022-07-15,-0.008821999999999997,5,2022-04-18,2022-07-14,-0.012570000000000005,61,11539,3938,7412,0,0,0,1,1,0,97,139,141,-0.17796610169491525,0.012869660460021906,54,55,47,-0.009174311926605505,0.012644605864944848,43,83,94,-0.31746031746031744,0.013286219081272085,"1,0","2022,0",Q1 2022,0.0,0.0,0.0,0.08666262241095417,0.25393600812595224,0.0
Wells Fargo & Co,WFC,2022-07-15,2022-Jul-15-WFC.N-137552337209-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2022-07-15,2022-10-14,0.04932500000000001,5,2022-07-18,2022-10-13,0.08330600000000002,63,12683,4381,8108,0,0,0,1,1,0,130,163,139,-0.11262798634812286,0.011473380107304993,66,89,35,-0.14838709677419354,0.008443908323281062,64,73,104,-0.06569343065693431,0.013331624150749904,"2,0","2022,0",Q2 2022,0.0,0.0,0.0,0.07884569896712135,0.22825838849577723,0.0
Wells Fargo & Co,WFC,2022-10-14,2022-Oct-14-WFC.N-139875205484-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2022-10-14,2023-01-13,0.046650000000000004,5,2022-10-17,2023-01-12,-0.11228600000000001,61,11929,4238,7494,0,0,0,0,0,0,127,174,123,-0.15614617940199335,0.010815088367185439,77,89,32,-0.07228915662650602,0.00797408422626464,50,84,91,-0.2537313432835821,0.012659988870339456,"3,0","2022,0",Q3 2022,0.0,0.0,0.0,0.0,0.0,0.0
Wells Fargo & Co,WFC,2023-01-13,2023-Jan-13-WFC.N-139847114491-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2023-01-13,2023-04-14,0.018447999999999996,5,2023-01-17,2023-04-13,-0.11992699999999998,61,13560,5796,7576,3,3,0,1,1,0,182,162,150,0.05813953488372093,0.011562475911508517,110,85,58,0.1282051282051282,0.01054737224949991,72,76,92,-0.02702702702702703,0.012583777868964575,"4,0","2022,0",Q4 2022,0.22123893805309736,0.5175983436853002,0.0,0.07374631268436578,0.1725327812284334,0.0
